document_id,party_id,role,name_row_id
zaf-jet-grants-register-2025-q1,jet-project-management-unit,author,jet-project-management-unit.name.1
zaf-jet-investment-register-q1-2026,jet-project-management-unit,author,jet-project-management-unit.name.1
zaf-project-nomzamo-agri-village,jet-project-management-unit,author,jet-project-management-unit.name.1
zaf-project-just-transition-framework-france,jet-project-management-unit,author,jet-project-management-unit.name.1
zaf-project-mining-ghost-towns-france,jet-project-management-unit,author,jet-project-management-unit.name.1
zaf-project-social-policies-france,jet-project-management-unit,author,jet-project-management-unit.name.1
zaf-project-lessons-best-practices-uk,jet-project-management-unit,author,jet-project-management-unit.name.1
zaf-project-mpumalanga-pathways-uk,jet-project-management-unit,author,jet-project-management-unit.name.1
zaf-project-cape-town-grid-uk-pact,jet-project-management-unit,author,jet-project-management-unit.name.1
zaf-project-energy-one-stop-shop-uk-pact,jet-project-management-unit,author,jet-project-management-unit.name.1
zaf-project-just-sa-germany,jet-project-management-unit,author,jet-project-management-unit.name.1
zaf-project-sagen-germany,jet-project-management-unit,author,jet-project-management-unit.name.1
zaf-project-h2sa-ptx-hub-germany,jet-project-management-unit,author,jet-project-management-unit.name.1
zaf-project-cpd4e-germany,jet-project-management-unit,author,jet-project-management-unit.name.1
zaf-eu-jetp-country-page,european-commission,author,european-commission.name.1
zaf-afd-jet-policy-loan-2024,agence-francaise-de-developpement,author,agence-francaise-de-developpement.name.1
zaf-kfw-jetp-project-profile,kfw-development-bank,author,kfw-development-bank.name.1
zaf-fcdo-jetp-programme-301523,foreign-commonwealth-and-development-office,author,foreign-commonwealth-and-development-office.name.1
zaf-jet-us-withdrawal-2025,jet-project-management-unit,author,jet-project-management-unit.name.1
zaf-eib-dbsa-renewables-2024,european-investment-bank,author,european-investment-bank.name.1
zaf-world-bank-eskom-jet-p177398,world-bank,author,world-bank.name.1
zaf-afdb-jet-funding-platform,african-development-bank,author,african-development-bank.name.1
zaf-dbsa-ntcsa-transmission,development-bank-of-southern-africa,author,development-bank-of-southern-africa.name.1
zaf-ntcsa-transmission-plans,national-transmission-company-south-africa,author,national-transmission-company-south-africa.name.1
zaf-jetp-political-declaration-2021,federal-government-of-germany,author,federal-government-of-germany.name.1
zaf-jetp-leaders-midyear-2022,uk-cop26-presidency,author,uk-cop26-presidency.name.1
zaf-jetp-leaders-2022,foreign-commonwealth-and-development-office,author,foreign-commonwealth-and-development-office.name.1
zaf-jetp-leaders-2023,foreign-commonwealth-and-development-office,author,foreign-commonwealth-and-development-office.name.1
zaf-jetp-leaders-2024,foreign-commonwealth-and-development-office,author,foreign-commonwealth-and-development-office.name.1
zaf-jetp-leaders-2025,foreign-commonwealth-and-development-office,author,foreign-commonwealth-and-development-office.name.1
zaf-jetp-leaders-2025-annex,foreign-commonwealth-and-development-office,author,foreign-commonwealth-and-development-office.name.1
zaf-jet-grants-register-2023-q3,jet-project-management-unit,author,jet-project-management-unit.name.1
zaf-jet-grants-storyline-2024,jet-project-management-unit,author,jet-project-management-unit.name.1
zaf-jet-grants-faq-2024,jet-project-management-unit,author,jet-project-management-unit.name.1
zaf-jet-grants-storyline-2025-q1,jet-project-management-unit,author,jet-project-management-unit.name.1
zaf-jet-grants-faq-2025-q1,jet-project-management-unit,author,jet-project-management-unit.name.1
zaf-project-report-nomzamo-2025,greencape,author,greencape.name.1
zaf-zandkopsdrift-eu-2025,european-union,author,european-union.name.1
zaf-zandkopsdrift-operator,frontier-rare-earths,author,frontier-rare-earths.name.1
zaf-growth-gateway-report-2026,foreign-commonwealth-and-development-office,author,foreign-commonwealth-and-development-office.name.1
zaf-growth-gateway-devtracker-300812,foreign-commonwealth-and-development-office,author,foreign-commonwealth-and-development-office.name.1
zaf-murp-afdb-2026,african-development-bank,author,african-development-bank.name.1
