country,source_layer,source_id,source_edition,source_cutoff,source_row_id,label,record_type,reported_status,identity_status,evidence_locator
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,90,JT-Mpumalanga Community Development: Peer Learning Exchange,register_row,C. Implementation Phase,named,"Overall - Data, Unique ID GR019"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,91,JT-Mpumalanga Capacity Development: Subnational JET Capacity Building,register_row,B. Approved,named,"Overall - Data, Unique ID GR020*"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,92,Green Hydrogen Research Programme,register_row,C. Implementation Phase,named,"Overall - Data, Unique ID GR021"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,93,Green Hydrogen Technical Assistance Programme,register_row,C. Implementation Phase,named,"Overall - Data, Unique ID GR022"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,94,Skills Research Programme,register_row,A. Planned,named,"Overall - Data, Unique ID GR023"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,95,Skills Research Programme,register_row,A. Planned,named,"Overall - Data, Unique ID GR024"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,96,Power Sector Reform Programme,register_row,C. Implementation Phase,named,"Overall - Data, Unique ID GR025"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,97,Renewable Energy & Green Hydrogen Financing Facility (REGHF),register_row,C. Implementation Phase,named,"Overall - Data, Unique ID GR026"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,98,Renewable Energy & Green Hydrogen Financing Facility (REGHF) - Accompanying measure,register_row,C. Implementation Phase,named,"Overall - Data, Unique ID GR026b"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,99,Climate-friendly and energy-efficient Urban Development in South Africa,register_row,A. Planned,named,"Overall - Data, Unique ID GR027"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,100,Support Programme for the Just Energy Transition (JET),register_row,B. Approved,named,"Overall - Data, Unique ID GR028"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,101,Support Programme for the Just Energy Transition (JET) - Accompanying measure,register_row,A. Planned,named,"Overall - Data, Unique ID GR028b"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,102,Support Programme for the Just Energy Transition (JET) II,register_row,B. Approved,named,"Overall - Data, Unique ID GR029"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,103,Support Programme for the Just Energy Transition (JET) II - Accompanying measure,register_row,A. Planned,named,"Overall - Data, Unique ID GR029b"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,104,Funding Programme Green Hydrogen South Africa II,register_row,A. Planned,named,"Overall - Data, Unique ID GR030"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,105,Policy-based loan I and II,register_row,D. Completed,named,"Overall - Data, Unique ID GR031"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,106,Skills & Employment Program (IRM) II,register_row,A. Planned,named,"Overall - Data, Unique ID GR032"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,107,Strengthening Societal Participation in SA's Energy Transition,register_row,C. Implementation Phase,named,"Overall - Data, Unique ID GR033"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,108,Promotion of the energy value chains green hydrogen and battery production (H2.SA II plus),register_row,C. Implementation Phase,named,"Overall - Data, Unique ID GR034"
