country,unit,stage,cohort,count,validation
SO,programme,actual_start,unvalidated_or_missing,93,"source reported, not document validated"
SR,component,actual_start,unvalidated_or_missing,1,"source reported, not document validated"
SR,programme,actual_start,unvalidated_or_missing,1,"source reported, not document validated"
SS,component,actual_start,unvalidated_or_missing,249,"source reported, not document validated"
SS,programme,actual_start,unvalidated_or_missing,58,"source reported, not document validated"
ST,programme,actual_start,unvalidated_or_missing,1,"source reported, not document validated"
SV,component,actual_start,unvalidated_or_missing,1,"source reported, not document validated"
SV,programme,actual_start,unvalidated_or_missing,14,"source reported, not document validated"
SY,component,actual_start,unvalidated_or_missing,166,"source reported, not document validated"
SY,programme,actual_start,unvalidated_or_missing,55,"source reported, not document validated"
SZ,component,actual_start,unvalidated_or_missing,3,"source reported, not document validated"
SZ,programme,actual_start,unvalidated_or_missing,2,"source reported, not document validated"
TC,component,actual_start,unvalidated_or_missing,7,"source reported, not document validated"
TC,programme,actual_start,unvalidated_or_missing,6,"source reported, not document validated"
TD,component,actual_start,unvalidated_or_missing,14,"source reported, not document validated"
TD,programme,actual_start,unvalidated_or_missing,9,"source reported, not document validated"
TH,component,actual_start,unvalidated_or_missing,27,"source reported, not document validated"
TH,programme,actual_start,unvalidated_or_missing,26,"source reported, not document validated"
TJ,component,actual_start,unvalidated_or_missing,69,"source reported, not document validated"
TJ,programme,actual_start,unvalidated_or_missing,50,"source reported, not document validated"
TL,component,actual_start,unvalidated_or_missing,8,"source reported, not document validated"
TL,programme,actual_start,unvalidated_or_missing,1,"source reported, not document validated"
TM,component,actual_start,unvalidated_or_missing,2,"source reported, not document validated"
TM,programme,actual_start,unvalidated_or_missing,10,"source reported, not document validated"
TN,component,actual_start,unvalidated_or_missing,7,"source reported, not document validated"
TN,programme,actual_start,unvalidated_or_missing,20,"source reported, not document validated"
TO,component,actual_start,unvalidated_or_missing,7,"source reported, not document validated"
TO,programme,actual_start,unvalidated_or_missing,3,"source reported, not document validated"
TR,component,actual_start,unvalidated_or_missing,61,"source reported, not document validated"
TR,programme,actual_start,unvalidated_or_missing,63,"source reported, not document validated"
TZ,component,actual_start,unvalidated_or_missing,374,"source reported, not document validated"
TZ,programme,actual_start,unvalidated_or_missing,113,"source reported, not document validated"
UA,component,actual_start,unvalidated_or_missing,95,"source reported, not document validated"
UA,programme,actual_start,unvalidated_or_missing,15,"source reported, not document validated"
UG,component,actual_start,unvalidated_or_missing,321,"source reported, not document validated"
UG,programme,actual_start,unvalidated_or_missing,95,"source reported, not document validated"
UY,programme,actual_start,unvalidated_or_missing,7,"source reported, not document validated"
UZ,component,actual_start,unvalidated_or_missing,9,"source reported, not document validated"
UZ,programme,actual_start,unvalidated_or_missing,14,"source reported, not document validated"
VC,component,actual_start,unvalidated_or_missing,2,"source reported, not document validated"
VC,programme,actual_start,unvalidated_or_missing,1,"source reported, not document validated"
VE,component,actual_start,unvalidated_or_missing,11,"source reported, not document validated"
VE,programme,actual_start,unvalidated_or_missing,21,"source reported, not document validated"
VG,component,actual_start,unvalidated_or_missing,1,"source reported, not document validated"
VG,programme,actual_start,unvalidated_or_missing,1,"source reported, not document validated"
VN,component,actual_start,unvalidated_or_missing,91,"source reported, not document validated"
VN,programme,actual_start,unvalidated_or_missing,65,"source reported, not document validated"
VU,component,actual_start,unvalidated_or_missing,10,"source reported, not document validated"
VU,programme,actual_start,unvalidated_or_missing,8,"source reported, not document validated"
WS,component,actual_start,unvalidated_or_missing,8,"source reported, not document validated"
WS,programme,actual_start,unvalidated_or_missing,9,"source reported, not document validated"
XK,component,actual_start,unvalidated_or_missing,50,"source reported, not document validated"
XK,programme,actual_start,unvalidated_or_missing,39,"source reported, not document validated"
YE,component,actual_start,unvalidated_or_missing,181,"source reported, not document validated"
YE,programme,actual_start,unvalidated_or_missing,73,"source reported, not document validated"
ZA,component,actual_start,unvalidated_or_missing,127,"source reported, not document validated"
ZA,programme,actual_start,unvalidated_or_missing,76,"source reported, not document validated"
ZM,component,actual_start,unvalidated_or_missing,261,"source reported, not document validated"
ZM,programme,actual_start,unvalidated_or_missing,73,"source reported, not document validated"
ZW,component,actual_start,unvalidated_or_missing,185,"source reported, not document validated"
ZW,programme,actual_start,unvalidated_or_missing,72,"source reported, not document validated"
multi-country,programme,actual_start,unvalidated_or_missing,150,"source reported, not document validated"
regional-or-unspecified,component,actual_start,2007,1,"source reported, not document validated"
regional-or-unspecified,component,actual_start,unvalidated_or_missing,7057,"source reported, not document validated"
regional-or-unspecified,programme,actual_start,2007,1,"source reported, not document validated"
regional-or-unspecified,programme,actual_start,unvalidated_or_missing,2489,"source reported, not document validated"
